twitter_user,followers
bricelalonde,3262
leaoserva,1644
forumamazonia,2665
Bazileu96,172
algore,3040339
jprcapo,2527
mvrodrigues,1051
ONU_RioMais20,14892
SergioMarone,490162
UmaGotaNoOceano,10555
googlebrasil,519102
RaRossiter,40
cptnacional,9002
ldowbor,9689
ciminacional,25542
imavieira,846
ZeClaudioeMaria,249
maaryfrancescon,97
RYoungSilva,6133
IDS_Brasil,3347
cidsustentaveis,33363
GiseleUequed,1500
foradoeixo,23240
ultimato,40703
cenpec,28680
TodosEducacao,101241
criancaeconsumo,12530
rachel_biderman,3021
andrelimadf,2914
sosflorestas,580
betoverissimo,3332
OEcoAmazonia,5632
icvcentrodevida,2478
Imaflora,14446
abramovay,11765
congemfoco2,1794
simonimprensa,9557
BarackObama,121487966
Florestafaz,6444
mariomantovani,5873
andreacatao,598
esuplicy,493102
CasadoSaber,15288
ICMBio,20350
brumelianebrum,323199
nossasaopaulo,16943
abranches,31987
Imazon,21599
institutoakatu,43160
AmbienteEnergia,13170
CampusPartyBRA,106864
caiotulio_costa,6981
jasper,6234
ABCiencias,67060
SBPCnet,182740
conexaoRD,1010
_Heloisa_Helena,156891
MarceloAdnet,3369140
hbarbeiro,30391
gustavocaetano,15612
Andreurani,521
ronaldofraga,61939
FePaesLeme,4097885
NecaSetubal,2307
felipeneto,12196850
obsclima,49948
STF_oficial,2170661
giseleofficial,4696715
srlm,159419
cassivaladao,78043
hukukveturkiye,292131
anapaulavaladao,1551625
luizeduardosoar,21659
Andre_Fischer,7665
WELLNOGUEIRA,1982
RIVALDOOFICIAL,560465
rodrigo_baggio,2426
GalCosta,1143225
WWF_Brasil,461521
TheEconomist,24937065
teresabritto,2004
lacalcanhotto,68033
fabio_feldmann,6053
institutoethos,111718
gondimricardo,70004
LeonardoBoff,286121
FidDH,647
BettyLago,236809
CARPINEJAR,834822
taisdeverdade,2530384
ErikaPalomino,134694
PedroTourinho,447737
SarahOliveira,456062
ifiorentino,1036368
MariaRita,1288670
gloriafperez,1986535
andreolifelipe,3446953
brunogagliasso,4994971
SabrinaSato,11115587
ivetesangalo,16906314
KAKA,29516514
evandromesquita,359318
Alfredosirkis,4990
Sergio_Xavier,5151
Marcelodedois,1106425
lucapi,4359
blogdopannunzio,136384
anarina,19031
Cristiane_Prizi,600
marionstrecker,4611
Survival,50587
apiwtxa,866
TNCBrasil,4114
contas_abertas,35556
congemfoco,246883
alcinea,11492
Servindi,22572
RodrigoHaidar,12506
acarolamaral,3138
perpetua_acre,17928
alceucastilho,1846
iberethenorio,117571
antonioprada,1450
FAngelico,7182
brunoweis,710
zerotoledo,93832
M_Pichonelli,6680
cristinaamorim,952
JoaoMeirelles,923
frednavarro,14287
MPF_AC,10166
robertosmeraldi,4392
pagina_22,7704
PaiTaiLyra,906
natcatu,874
felipedjeguaka,8788
trbrasil,22640
IPAM_Amazonia,32546
renataloprete,484184
MarceloTas,9459675
gabrielpriolli,6383
rmesquita,2890
danichiaretti,2322
agenciabrasil,156886
cbnbrasilia,482109
jornaldacbn,556335
BandJornalismo,722144
RevistaEpoca,2770844
VEJA,8577877
RevistaISTOE,1684006
exame,2718552
cartacapital,2015802
valoreconomico,2389896
GauchaZH,1135038
Estadao,6870121
JornalOGlobo,6489797
ecodorg,29479
sosma,146610
observatorio,573849
justicaglobal,17389
psustentavel,159428
povosindigenas,12348
AmazoniaOrg,14081
GreenpeaceBR,1902173
MPF_PA,14775
gcamara,4668
socioambiental,61527
o_eco,52942
globoamazonia,75839
Mleitaonetto,35835
miriamleitao,2903397
Bob_Fernandes,288754
BlogdoNoblat,1171128
blogdojosias,180952
SenadoFederal,998468
Sen_Cristovam,746774
tiao_viana,33814
gabeiracombr,269312
gilbertogil,2583025
naosoumaismess,4982
tassoazevedo,5945
claudioangelo,4466
PauloAdario,4613
RolimMarcos,10512
AltinoMachado,12292
paulogbarreto,4455
andretrig,458333
